TransactionId,Voucher,Amount (Original),Amount (Base USD),Amount (Base),Currency (Original),Account Code,HFM Account,Journal Type,Journal Desc,Customer or Supplier,Transaction Date,Transaction Entered By,Transaction Entered Date,Transaction Updated By,Transaction Updated Date,COY_ID,Entity Name,Vessel AUX,Reference,Updated in ODP,Transaction Open,Transaction Text
VGR731433445,AUTO,-14198.8,-11000,-14198.8,USD,1200000,BS20101,SR,Sales Receipt,,20-08-2025,Nishant Jain,23:32.2,Nishant Jain,23:32.3,,,,,03:48.5,Yes,QUEEN OF DORIA
VGR731456946,AUTO,-1614.66,-1250.9,-1614.66,USD,1200000,BS20101,SR,Sales Receipt,,21-08-2025,Nishant Jain,37:16.3,Nishant Jain,37:16.5,,,,,03:48.5,Yes,QUEEN OF DORIA
VGR731456950,AUTO,-18762.6,-14535.64,-18762.6,USD,1200000,BS20101,SR,Sales Receipt,,21-08-2025,Nishant Jain,37:43.6,Nishant Jain,37:43.7,,,,,03:48.5,Yes,HOEGH SYDNEY
VGR731456954,AUTO,-18762.72,-14535.73,-18762.72,USD,1200000,BS20101,SR,Sales Receipt,,21-08-2025,Nishant Jain,38:06.7,Nishant Jain,38:06.7,,,,,03:48.5,Yes,HOEGH BRASILIA
VGR731456973,259387V7,-200,-154.94,-200,SGD,3203075,IGNORE,BV,Bank Voucher,,21-08-2025,Nishant Jain,38:54.5,Nishant Jain,38:54.5,VSERGSM0125,VSAG V.Ships Asia Group Pte Ltd (HOLDING),,,03:48.5,Yes,VSAG CASH POOLING
VGR731468250,259396V7,45.76,35.45,45.76,USD,1243810,BS22000,SI,Sales Invoice,V.Ships Asia Group Pte Ltd.,22-08-2025,Savita Gaikwad,11:51.8,Savita Gaikwad,11:51.8,,,VESTA,,03:48.5,No,Marine Traffic - Fleet Operations
VGR731468256,259391V7,34890.03,27029.77,34890.03,USD,1200000,BS20101,SI,Sales Invoice,,22-08-2025,Savita Gaikwad,11:51.8,Savita Gaikwad,11:51.8,,,,VSA-2025-42820,03:48.5,Yes,"Expenses August 2025 
"
VGR731468257,259392V7,-8853.43,-6858.87,-8853.43,USD,1200000,BS20101,SC,Sales Credit Note,,22-08-2025,Savita Gaikwad,11:51.8,Savita Gaikwad,11:51.8,,,,VSA-2025-42821,03:48.5,Yes,"PARTIAL CREDIT NOTE REVERSING INVOICE VSA-2025-42069-6/10
 --------------------------- 
MONTHLY MANAGEMENT FEES - AUGUST 2025"
VGR731468258,259393V7,-562.12,-435.48,-562.12,USD,1200000,BS20101,SC,Sales Credit Note,,22-08-2025,Savita Gaikwad,11:51.8,Savita Gaikwad,11:51.8,,,,VSA-2025-42822,03:48.5,Yes,"PARTIAL CREDIT NOTE REVERSING INVOICE VSA-2025-42334-5/9
 --------------------------- 
TELECOMMUNICATIONS, POSTAGES AND COPYING FOR THE MONTH OF AUGUST 2025"
VGR731468259,259394V7,-6662.19,-5161.29,-6662.19,USD,1200000,BS20101,SC,Sales Credit Note,,22-08-2025,Savita Gaikwad,11:51.8,Savita Gaikwad,11:51.8,,,,VSA-2025-42823,03:48.5,Yes,"PARTIAL CREDIT NOTE REVERSING INVOICE VSA-2025-42372-5/9
 --------------------------- 
MONTHLY MANAGEMENT FEES - AUGUST 2025"
VGR731468260,259395V7,-277.6,-215.06,-277.6,USD,1200000,BS20101,SC,Sales Credit Note,,22-08-2025,Savita Gaikwad,11:51.8,Savita Gaikwad,11:51.8,,,,VSA-2025-42824,03:48.5,Yes,"PARTIAL CREDIT NOTE REVERSING INVOICE VSA-2025-42322-5/9
 --------------------------- 
TELECOMMUNICATIONS, POSTAGES AND COPYING FOR THE MONTH OF AUGUST 2025"
VGR731468261,259396V7,-45.76,-35.45,-45.76,USD,1200000,BS20101,SI,Sales Invoice,,22-08-2025,Savita Gaikwad,11:51.8,Savita Gaikwad,11:51.8,,,,VSA-2025-42825,03:48.5,Yes,"CREDIT NOTE REVERSING INVOICE VSA-2025-42575
 --------------------------- 
Expenses of June 2025
"
